seed,asset-count,random-score,ga-score,greedy-score,evolved-score,greedy-minus-random,greedy-minus-ga,evolved-minus-greedy
12,250,0.6334570071633097,0.8146167138895356,0.9993273682679256,0.9993273682679256,0.3658703611046159,0.18471065437838996,0.0
12,500,0.5999409651133244,0.7928148902425873,0.9996746779764404,0.9996746779764404,0.399733712863116,0.20685978773385305,0.0
13,50,0.7353364631644862,0.9001738198642277,0.9966879184774353,0.9966879184774353,0.2613514553129491,0.09651409861320759,0.0
13,100,0.6950750572346402,0.864340850292374,0.9982054274679871,0.9982054274679871,0.3031303702333469,0.13386457717561318,0.0
13,250,0.6339939494046686,0.814691413150026,0.9993273682679256,0.9993273682679256,0.365333418863257,0.18463595511789954,0.0
13,500,0.609424822845536,0.7884141633617061,0.9996746779764404,0.9996746779764404,0.3902498551309044,0.21126051461473427,0.0
14,50,0.7529393654470512,0.8950186600313694,0.9966879184774353,0.9966879184774353,0.24374855303038412,0.10166925844606589,0.0
14,100,0.7128421051305325,0.8679692427121717,0.9982054274679871,0.9982054274679871,0.28536332233745465,0.13023618475581544,0.0
14,250,0.6391861954898426,0.8098549324974528,0.9993273682679256,0.9993273682679256,0.360141172778083,0.1894724357704728,0.0
14,500,0.6078416104349555,0.7873262163132011,0.9996746779764404,0.9996746779764404,0.39183306754148484,0.21234846166323929,0.0
15,50,0.7326716468186858,0.8985696002628074,0.9966879184774353,0.9966879184774353,0.2640162716587495,0.09811831821462791,0.0
15,100,0.7046386904610054,0.8665538312211869,0.9982054274679871,0.9982054274679871,0.29356673700698177,0.13165159624680023,0.0
15,250,0.6515847519980211,0.8106019057949864,0.9993273682679256,0.9993273682679256,0.34774261626990444,0.1887254624729392,0.0
15,500,0.5991768255576109,0.7932468042533525,0.9996746779764404,0.9996746779764404,0.4004978524188295,0.2064278737230879,0.0
16,50,0.7451893331114655,0.9077367586652606,0.9966879184774353,0.9966879184774353,0.2514985853659698,0.08895115981217472,0.0
16,100,0.704861438699675,0.8714148709390802,0.9982054274679871,0.9982054274679871,0.29334398876831214,0.12679055652890692,0.0
16,250,0.6356414634629532,0.8181476174254148,0.9993273682679256,0.9993273682679256,0.3636859048049723,0.1811797508425108,0.0
16,500,0.6046160216107285,0.7870250013797535,0.9996746779764404,0.9996746779764404,0.3950586563657119,0.21264967659668688,0.0
17,50,0.7498695267182933,0.9001145742818186,0.9966879184774353,0.9966879184774353,0.246818391759142,0.0965733441956167,0.0
17,100,0.7082440247395603,0.8718330224497626,0.9982054274679871,0.9982054274679871,0.28996140272842685,0.12637240501822455,0.0
17,250,0.6414402605490434,0.8196594518903126,0.9993273682679256,0.9993273682679256,0.3578871077188822,0.17966791637761292,0.0
17,500,0.6046354030485036,0.7976344462661662,0.9996746779764404,0.9996746779764404,0.3950392749279368,0.2020402317102742,0.0
18,50,0.751491557987381,0.9121192256894265,0.9966879184774353,0.997873168696926,0.24519636049005433,0.08456869278800883,0.0011852502194906744
18,100,0.6893629315988715,0.8544945560240669,0.9982054274679871,0.9982276645149073,0.3088424958691156,0.14371087144392025,2.2237046920170478E-5
18,250,0.6355545883921401,0.812826107731933,0.9993273682679256,0.9993273682679256,0.3637727798757855,0.18650126053599259,0.0
18,500,0.6077434445032371,0.7994477087730207,0.9996746779764404,0.9996746779764404,0.39193123347320324,0.20022696920341965,0.0
19,50,0.7508930327824126,0.8939546478786389,0.9966879184774353,0.9977327324400763,0.24579488569502272,0.10273327059879644,0.0010448139626410002
